"id","item","grandeza","quantidade","preco_unitario","preco_total","data","hora","estabelecimento","cnpj","endereco"
1,Cenoura,KG,"0,645","7,99","5,15","30/04/2022","14:32:19",Jose Menin,"02.178.214/0001-88","Rod Pr 412,230,,Banl Praia De Leste,Pontal do Parana,PR"
2,Brocolis Americano Un,UN,"1","4,99","4,99","30/04/2022","14:32:19",Jose Menin,"02.178.214/0001-88","Rod Pr 412,230,,Banl Praia De Leste,Pontal do Parana,PR"
3,Agriao Maco,UN,"1","2,99","2,99","30/04/2022","14:32:19",Jose Menin,"02.178.214/0001-88","Rod Pr 412,230,,Banl Praia De Leste,Pontal do Parana,PR"
4,Macarrao Orquidea Espaguete 500g,UN,"1","2,99","2,99","30/04/2022","14:32:19",Jose Menin,"02.178.214/0001-88","Rod Pr 412,230,,Banl Praia De Leste,Pontal do Parana,PR"
5,Macarrao Orquidea Espaguete 500g,UN,"1","2,99","2,99","30/04/2022","14:32:19",Jose Menin,"02.178.214/0001-88","Rod Pr 412,230,,Banl Praia De Leste,Pontal do Parana,PR"
6,Molho Predilecta Tradicional 300g,UN,"1","1,99","1,99","30/04/2022","14:32:19",Jose Menin,"02.178.214/0001-88","Rod Pr 412,230,,Banl Praia De Leste,Pontal do Parana,PR"
7,Sabao Em Po Girando Sol Rosa Sache 800g,UN,"1","6,99","6,99","30/04/2022","14:32:19",Jose Menin,"02.178.214/0001-88","Rod Pr 412,230,,Banl Praia De Leste,Pontal do Parana,PR"
8,Refresco Pop Laranja 25g,UN,"1","0,79","0,79","30/04/2022","14:32:19",Jose Menin,"02.178.214/0001-88","Rod Pr 412,230,,Banl Praia De Leste,Pontal do Parana,PR"
9,Refresco Pop Laranja 25g,UN,"1","0,79","0,79","30/04/2022","14:32:19",Jose Menin,"02.178.214/0001-88","Rod Pr 412,230,,Banl Praia De Leste,Pontal do Parana,PR"
10,Tomate Longa Vida,KG,"0,56","8,99","5,03","30/04/2022","14:32:19",Jose Menin,"02.178.214/0001-88","Rod Pr 412,230,,Banl Praia De Leste,Pontal do Parana,PR"
11,Molho Predilecta Tradicional 300g,UN,"1","1,99","1,99","30/04/2022","14:32:19",Jose Menin,"02.178.214/0001-88","Rod Pr 412,230,,Banl Praia De Leste,Pontal do Parana,PR"
12,Frango A Passarinho,KG,"1,064","9,99","10,63","30/04/2022","14:32:19",Jose Menin,"02.178.214/0001-88","Rod Pr 412,230,,Banl Praia De Leste,Pontal do Parana,PR"
13,Paleta Suina,KG,"1,448","11,99","17,36","30/04/2022","14:32:19",Jose Menin,"02.178.214/0001-88","Rod Pr 412,230,,Banl Praia De Leste,Pontal do Parana,PR"
14,TINIDAZOL+MICONAZOL VAG 45G+7APL,UND,"1","40,57","40,57","02/04/2022","19:19:25",FREEFARMA PRAIA DE LESTE,"36.775.299/0005-27","ROD PR 412 ENGENHEIRO DARCI GOMES D,1214,,PRAIA DE LESTE,Pontal do Parana,PR"
15,CIMEGRIPE C/10 CAPS,UND,"1","11,68","11,68","02/04/2022","19:19:25",FREEFARMA PRAIA DE LESTE,"36.775.299/0005-27","ROD PR 412 ENGENHEIRO DARCI GOMES D,1214,,PRAIA DE LESTE,Pontal do Parana,PR"
16,CR DENTAL ORAL B 70G 123 ANTICARIES,UND,"1","2,98","2,98","02/04/2022","19:19:25",FREEFARMA PRAIA DE LESTE,"36.775.299/0005-27","ROD PR 412 ENGENHEIRO DARCI GOMES D,1214,,PRAIA DE LESTE,Pontal do Parana,PR"
17,CR DENTAL CLOSEUP 90G EUCALIPTUS FREEZE,UND,"1","3,98","3,98","02/04/2022","19:19:25",FREEFARMA PRAIA DE LESTE,"36.775.299/0005-27","ROD PR 412 ENGENHEIRO DARCI GOMES D,1214,,PRAIA DE LESTE,Pontal do Parana,PR"
